pfam_acc,pfam_name,n_anchor_proteins,m_states,anchor_entropy,anchor_h_norm,anchor_top1_conc,anchor_top3_conc,random_h_norm_mean,random_h_norm_ci_lo,random_h_norm_ci_hi,random_top1_conc_mean,random_top3_conc_mean,random_n_mean,random_empirical_p,buried_h_norm_mean,buried_h_norm_ci_lo,buried_h_norm_ci_hi,buried_top1_conc_mean,buried_top3_conc_mean,buried_n_mean,buried_empirical_p,sse_h_norm_mean,sse_h_norm_ci_lo,sse_h_norm_ci_hi,sse_top1_conc_mean,sse_top3_conc_mean,sse_n_mean,sse_empirical_p
PF00106,short chain dehydrogenase,12,193,-0.0,-0.0,1.0,1.0,0.46517661021543466,0.42827099994468,0.47217422280088384,0.10708333333333332,0.27625,12.0,0.0,0.4296274682722563,0.3848461809589286,0.43753004838637305,0.126,0.3299999999999999,10.0,0.0,0.4354402638387109,0.39769223713515683,0.47217422280088384,0.16791666666666663,0.38458333333333333,12.0,0.0
PF13561,Enoyl-(Acyl carrier protein) reductase,12,236,-0.0,-0.0,1.0,1.0,0.45010046444796076,0.43364843652678475,0.45479193695208436,0.10083333333333332,0.26833333333333337,12.0,0.0,0.41376358547661574,0.37067872750167397,0.42142312852239283,0.127,0.3299999999999999,10.0,0.0,0.42256781115026937,0.3622374531393628,0.45479193695208436,0.16166666666666665,0.37,12.0,0.0
PF00583,Acetyltransferase (GNAT) family,11,116,-0.0,-0.0,1.0,1.0,0.49036993300559445,0.4514149655999953,0.5044387876103972,0.1309090909090909,0.3204545454545455,11.0,0.0,0.14508643297596235,0.14581551052860536,0.14581551052860536,0.5025,1.0,2.0,0.005,0.1428992003180333,0.14581551052860536,0.14581551052860536,0.51,1.0,2.0,0.02
PF13302,Acetyltransferase (GNAT) domain,11,138,-0.0,-0.0,1.0,1.0,0.47630071129212864,0.43550462178532845,0.48665959295372985,0.12318181818181817,0.3095454545454545,11.0,0.0,0.13926940900597284,0.1406761707131039,0.1406761707131039,0.505,1.0,2.0,0.01,0.13926940900597284,0.1406761707131039,0.1406761707131039,0.505,1.0,2.0,0.01
PF00072,Response regulator receiver domain,10,111,-0.0,-0.0,1.0,1.0,0.4795924646406347,0.4300484622023871,0.4889203369695811,0.128,0.3314999999999999,10.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0
PF00293,NUDIX domain,10,133,-0.0,-0.0,1.0,1.0,0.4603005876554371,0.41414757263077534,0.47084268068020735,0.1325,0.3369999999999999,10.0,0.0,,,,,,0.0,0.0,0.13819432587049058,0.1381943258704907,0.1417377701235801,0.5125,1.0,2.0,0.025
PF00155,Aminotransferase class I and II,9,361,-0.0,-0.0,1.0,1.0,0.37031849957497115,0.3469577540920105,0.373114300021637,0.12277777777777782,0.345,9.0,0.0,0.34982096397660406,0.3236872558791276,0.35311337004995735,0.13875,0.38875,8.0,0.0,0.36011744666241674,0.32080120816238406,0.373114300021637,0.15833333333333338,0.3883333333333333,9.0,0.0
PF13673,Acetyltransferase (GNAT) domain,9,114,-0.0,-0.0,1.0,1.0,0.45020076128641845,0.3988766907337719,0.46392156098971055,0.15277777777777782,0.38,9.0,0.0,0.0,-0.0,0.0,1.0,1.0,1.0,1.0,,,,,,0.0,0.0
PF13378,Enolase C-terminal domain-like,8,217,-0.0,-0.0,1.0,1.0,0.3820112643985191,0.35431061622122345,0.38652067224133463,0.14125,0.3925,8.0,0.0,0.3813062758562829,0.35431061622122345,0.38652067224133463,0.144375,0.395,8.0,0.0,0.36918488087793877,0.3099430758343287,0.38652067224133463,0.183125,0.440625,8.0,0.0
PF00881,Nitroreductase family,8,167,-0.0,-0.0,1.0,1.0,0.4012213765141665,0.37244178410597745,0.4063001281156117,0.143125,0.39375,8.0,0.0,0.3104035595281685,0.2602932103939097,0.31446656080932456,0.215,0.6149999999999999,5.0,0.0,0.3411166340249355,0.3049457397261735,0.3500901984056859,0.19916666666666663,0.5325,6.0,0.0
PF13508,Acetyltransferase (GNAT) domain,8,84,0.37677016125643675,0.08503401931553443,0.875,1.0,0.45508634791132124,0.3910944708551789,0.4693133650262146,0.165,0.42,8.0,0.0,0.0,-0.0,0.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,1.0,1.0,1.0,1.0
PF13407,Periplasmic binding protein domain,8,257,-0.0,-0.0,1.0,1.0,0.3720821507048995,0.3435084899499702,0.3747365344908765,0.135625,0.385625,8.0,0.0,0.3704618143265019,0.3435084899499702,0.3747365344908765,0.141875,0.391875,8.0,0.0,0.3607397960561159,0.3004936151385966,0.3747365344908765,0.173125,0.429375,8.0,0.0
