protein,alpha,layer,head,mean_jsd,cosine_sim
1A8LA,0.0,0,0,0.0,1.0
1A8LA,0.0,0,1,0.0,1.0
1A8LA,0.0,0,2,0.0,1.0
1A8LA,0.0,0,3,0.0,1.0
1A8LA,0.0,0,4,0.0,1.0
1A8LA,0.0,0,5,0.0,1.0
1A8LA,0.0,0,6,0.0,1.0
1A8LA,0.0,0,7,0.0,1.0
1A8LA,0.0,0,8,0.0,1.0
1A8LA,0.0,0,9,0.0,1.0
1A8LA,0.0,0,10,0.0,1.0
1A8LA,0.0,0,11,0.0,1.0
1A8LA,0.0,0,12,0.0,1.0
1A8LA,0.0,0,13,0.0,1.0
1A8LA,0.0,0,14,0.0,1.0
1A8LA,0.0,0,15,0.0,1.0
1A8LA,0.0,0,16,0.0,1.0
1A8LA,0.0,0,17,0.0,1.0
1A8LA,0.0,0,18,0.0,1.0
1A8LA,0.0,0,19,0.0,1.0
1A8LA,0.0,1,0,0.0,1.0
1A8LA,0.0,1,1,0.0,1.0
1A8LA,0.0,1,2,0.0,1.0
1A8LA,0.0,1,3,0.0,1.0
1A8LA,0.0,1,4,0.0,1.0
1A8LA,0.0,1,5,0.0,1.0
1A8LA,0.0,1,6,0.0,1.0
1A8LA,0.0,1,7,0.0,1.0
1A8LA,0.0,1,8,0.0,1.0
1A8LA,0.0,1,9,0.0,1.0
1A8LA,0.0,1,10,0.0,1.0
1A8LA,0.0,1,11,0.0,1.0
1A8LA,0.0,1,12,0.0,1.0
1A8LA,0.0,1,13,0.0,1.0
1A8LA,0.0,1,14,0.0,1.0
1A8LA,0.0,1,15,0.0,1.0
1A8LA,0.0,1,16,0.0,1.0
1A8LA,0.0,1,17,0.0,1.0
1A8LA,0.0,1,18,0.0,1.0
1A8LA,0.0,1,19,0.0,1.0
1A8LA,0.0,2,0,0.0,1.0
1A8LA,0.0,2,1,0.0,1.0
1A8LA,0.0,2,2,0.0,1.0
1A8LA,0.0,2,3,0.0,1.0
1A8LA,0.0,2,4,0.0,1.0
1A8LA,0.0,2,5,0.0,1.0
1A8LA,0.0,2,6,0.0,1.0
1A8LA,0.0,2,7,0.0,1.0
1A8LA,0.0,2,8,0.0,1.0
1A8LA,0.0,2,9,0.0,1.0
1A8LA,0.0,2,10,0.0,1.0
1A8LA,0.0,2,11,0.0,1.0
1A8LA,0.0,2,12,0.0,1.0
1A8LA,0.0,2,13,0.0,1.0
1A8LA,0.0,2,14,0.0,1.0
1A8LA,0.0,2,15,0.0,1.0
1A8LA,0.0,2,16,0.0,1.0
1A8LA,0.0,2,17,0.0,1.0
1A8LA,0.0,2,18,0.0,1.0
1A8LA,0.0,2,19,0.0,1.0
1A8LA,0.0,3,0,0.0,1.0
1A8LA,0.0,3,1,0.0,1.0
1A8LA,0.0,3,2,0.0,1.0
1A8LA,0.0,3,3,0.0,1.0
1A8LA,0.0,3,4,0.0,1.0
1A8LA,0.0,3,5,0.0,1.0
1A8LA,0.0,3,6,0.0,1.0
1A8LA,0.0,3,7,0.0,1.0
1A8LA,0.0,3,8,0.0,1.0
1A8LA,0.0,3,9,0.0,1.0
1A8LA,0.0,3,10,0.0,1.0
1A8LA,0.0,3,11,0.0,1.0
1A8LA,0.0,3,12,0.0,1.0
1A8LA,0.0,3,13,0.0,1.0
1A8LA,0.0,3,14,0.0,1.0
1A8LA,0.0,3,15,0.0,1.0
1A8LA,0.0,3,16,0.0,1.0
1A8LA,0.0,3,17,0.0,1.0
1A8LA,0.0,3,18,0.0,1.0
1A8LA,0.0,3,19,0.0,1.0
1A8LA,0.0,4,0,0.0,1.0
1A8LA,0.0,4,1,0.0,1.0
1A8LA,0.0,4,2,0.0,1.0
1A8LA,0.0,4,3,0.0,1.0
1A8LA,0.0,4,4,0.0,1.0
1A8LA,0.0,4,5,0.0,1.0
1A8LA,0.0,4,6,0.0,1.0
1A8LA,0.0,4,7,0.0,1.0
1A8LA,0.0,4,8,0.0,1.0
1A8LA,0.0,4,9,0.0,1.0
1A8LA,0.0,4,10,0.0,1.0
1A8LA,0.0,4,11,0.0,1.0
1A8LA,0.0,4,12,0.0,1.0
1A8LA,0.0,4,13,0.0,1.0
1A8LA,0.0,4,14,0.0,1.0
1A8LA,0.0,4,15,0.0,1.0
1A8LA,0.0,4,16,0.0,1.0
1A8LA,0.0,4,17,0.0,1.0
1A8LA,0.0,4,18,0.0,1.0
1A8LA,0.0,4,19,0.0,1.0
1A8LA,0.0,5,0,0.0,1.0
1A8LA,0.0,5,1,0.0,1.0
1A8LA,0.0,5,2,0.0,1.0
1A8LA,0.0,5,3,0.0,1.0
1A8LA,0.0,5,4,0.0,1.0
1A8LA,0.0,5,5,0.0,1.0
1A8LA,0.0,5,6,0.0,1.0
1A8LA,0.0,5,7,0.0,1.0
1A8LA,0.0,5,8,0.0,1.0
1A8LA,0.0,5,9,0.0,1.0
1A8LA,0.0,5,10,0.0,1.0
1A8LA,0.0,5,11,0.0,1.0
1A8LA,0.0,5,12,0.0,1.0
1A8LA,0.0,5,13,0.0,1.0
1A8LA,0.0,5,14,0.0,1.0
1A8LA,0.0,5,15,0.0,1.0
1A8LA,0.0,5,16,0.0,1.0
1A8LA,0.0,5,17,0.0,1.0
1A8LA,0.0,5,18,0.0,1.0
1A8LA,0.0,5,19,0.0,1.0
1A8LA,0.0,6,0,0.0,1.0
1A8LA,0.0,6,1,0.0,1.0
1A8LA,0.0,6,2,0.0,1.0
1A8LA,0.0,6,3,0.0,1.0
1A8LA,0.0,6,4,0.0,1.0
1A8LA,0.0,6,5,0.0,1.0
1A8LA,0.0,6,6,0.0,1.0
1A8LA,0.0,6,7,0.0,1.0
1A8LA,0.0,6,8,0.0,1.0
1A8LA,0.0,6,9,0.0,1.0
1A8LA,0.0,6,10,0.0,1.0
1A8LA,0.0,6,11,0.0,1.0
1A8LA,0.0,6,12,0.0,1.0
1A8LA,0.0,6,13,0.0,1.0
1A8LA,0.0,6,14,0.0,1.0
1A8LA,0.0,6,15,0.0,1.0
1A8LA,0.0,6,16,0.0,1.0
1A8LA,0.0,6,17,0.0,1.0
1A8LA,0.0,6,18,0.0,1.0
1A8LA,0.0,6,19,0.0,1.0
1A8LA,0.0,7,0,0.0,1.0
1A8LA,0.0,7,1,0.0,1.0
1A8LA,0.0,7,2,0.0,1.0
1A8LA,0.0,7,3,0.0,1.0
1A8LA,0.0,7,4,0.0,1.0
