chain_key,set,pfam_id,hsf,audit_pass,L_Pfam,L_HSF,L_fold,L_foldseek_cluster
6won_G,A_3.40.50.720,PF13561,3.40.50.720,True,PF13561,3.40.50.720,alpha_beta,2hrz_A
2foi_A,A_3.40.50.720,PF13561,3.40.50.720,True,PF13561,3.40.50.720,alpha_beta,2hrz_A
2ag5_A,A_3.40.50.720,PF13561,3.40.50.720,False,PF13561,3.40.50.720,alpha_beta,2hrz_A
3ged_B,A_3.40.50.720,PF13561,3.40.50.720,True,PF13561,3.40.50.720,alpha_beta,2hrz_A
3u4c_A,A_3.40.50.720,PF13561,3.40.50.720,False,PF13561,3.40.50.720,alpha_beta,2hrz_A
3oig_A,A_3.40.50.720,PF13561,3.40.50.720,True,PF13561,3.40.50.720,alpha_beta,2hrz_A
5ovk_A,A_3.40.50.720,PF13561,3.40.50.720,False,PF13561,3.40.50.720,alpha_beta,2hrz_A
1w6u_A,A_3.40.50.720,PF13561,3.40.50.720,False,PF13561,3.40.50.720,alpha_beta,2hrz_A
5k9z_B,A_3.40.50.720,PF13561,3.40.50.720,False,PF13561,3.40.50.720,alpha_beta,2hrz_A
1vl8_B,A_3.40.50.720,PF13561,3.40.50.720,False,PF13561,3.40.50.720,alpha_beta,2hrz_A
1xg5_C,A_3.40.50.720,PF00106,3.40.50.720,True,PF00106,3.40.50.720,alpha_beta,2hrz_A
4dry_C,A_3.40.50.720,PF00106,3.40.50.720,True,PF00106,3.40.50.720,alpha_beta,2hrz_A
4fd3_D,A_3.40.50.720,PF00106,3.40.50.720,True,PF00106,3.40.50.720,alpha_beta,2hrz_A
2rhc_B,A_3.40.50.720,PF00106,3.40.50.720,True,PF00106,3.40.50.720,alpha_beta,2hrz_A
2yut_A,A_3.40.50.720,PF00106,3.40.50.720,True,PF00106,3.40.50.720,alpha_beta,2hrz_A
1fmc_B,A_3.40.50.720,PF00106,3.40.50.720,False,PF00106,3.40.50.720,alpha_beta,2hrz_A
1bdb_A,A_3.40.50.720,PF00106,3.40.50.720,True,PF00106,3.40.50.720,alpha_beta,2hrz_A
3rd5_A,A_3.40.50.720,PF00106,3.40.50.720,False,PF00106,3.40.50.720,alpha_beta,2hrz_A
1mg5_B,A_3.40.50.720,PF00106,3.40.50.720,True,PF00106,3.40.50.720,alpha_beta,2hrz_A
1sny_A,A_3.40.50.720,PF00106,3.40.50.720,False,PF00106,3.40.50.720,alpha_beta,2hrz_A
4qtz_A,A_3.40.50.720,PF01370,3.40.50.720,True,PF01370,3.40.50.720,alpha_beta,2hrz_A
2z1m_A,A_3.40.50.720,PF01370,3.40.50.720,False,PF01370,3.40.50.720,alpha_beta,2hrz_A
5zec_A,A_3.40.50.720,PF01370,3.40.50.720,False,PF01370,3.40.50.720,alpha_beta,2hrz_A
1fxs_A,A_3.40.50.720,PF01370,3.40.50.720,False,PF01370,3.40.50.720,alpha_beta,2hrz_A
3gpi_A,A_3.40.50.720,PF01370,3.40.50.720,True,PF01370,3.40.50.720,alpha_beta,2hrz_A
3sxp_D,A_3.40.50.720,PF01370,3.40.50.720,False,PF01370,3.40.50.720,alpha_beta,2hrz_A
6yj4_P,A_3.40.50.720,PF01370,3.40.50.720,False,PF01370,3.40.50.720,alpha_beta,2hrz_A
2hrz_A,A_3.40.50.720,PF01370,3.40.50.720,False,PF01370,3.40.50.720,alpha_beta,2hrz_A
2x4g_A,A_3.40.50.720,PF01370,3.40.50.720,False,PF01370,3.40.50.720,alpha_beta,2hrz_A
4idg_B,A_3.40.50.720,PF01370,3.40.50.720,False,PF01370,3.40.50.720,alpha_beta,2hrz_A
3ip1_B,A_3.40.50.720,PF00107,3.40.50.720,True,PF00107,3.40.50.720,alpha_beta,4gi2_B
4rvu_A,A_3.40.50.720,PF00107,3.40.50.720,True,PF00107,3.40.50.720,alpha_beta,4gi2_B
7cyi_D,A_3.40.50.720,PF00107,3.40.50.720,False,PF00107,3.40.50.720,alpha_beta,4gi2_B
4jbi_M,A_3.40.50.720,PF00107,3.40.50.720,False,PF00107,3.40.50.720,alpha_beta,4gi2_B
3gaz_B,A_3.40.50.720,PF00107,3.40.50.720,True,PF00107,3.40.50.720,alpha_beta,4gi2_B
1zsy_A,A_3.40.50.720,PF00107,3.40.50.720,True,PF00107,3.40.50.720,alpha_beta,4gi2_B
4gi2_B,A_3.40.50.720,PF00107,3.40.50.720,False,PF00107,3.40.50.720,alpha_beta,4gi2_B
1q1n_A,A_3.40.50.720,PF00107,3.40.50.720,True,PF00107,3.40.50.720,alpha_beta,4gi2_B
2zb8_A,A_3.40.50.720,PF00107,3.40.50.720,True,PF00107,3.40.50.720,alpha_beta,4gi2_B
4eye_A,A_3.40.50.720,PF00107,3.40.50.720,True,PF00107,3.40.50.720,alpha_beta,4gi2_B
3gfb_A,A_3.40.50.720,PF08240,3.40.50.720,False,PF08240,3.40.50.720,alpha_beta,4gi2_B
2j8z_A,A_3.40.50.720,PF08240,3.40.50.720,True,PF08240,3.40.50.720,alpha_beta,4gi2_B
4gi2_A,A_3.40.50.720,PF08240,3.40.50.720,False,PF08240,3.40.50.720,alpha_beta,4gi2_B
3m6i_B,A_3.40.50.720,PF08240,3.40.50.720,False,PF08240,3.40.50.720,alpha_beta,4gi2_B
1yb5_A,A_3.40.50.720,PF08240,3.40.50.720,True,PF08240,3.40.50.720,alpha_beta,4gi2_B
5a4d_G,A_3.40.50.720,PF08240,3.40.50.720,False,PF08240,3.40.50.720,alpha_beta,4gi2_B
1ps0_A,A_3.40.50.720,PF08240,3.40.50.720,True,PF08240,3.40.50.720,alpha_beta,4gi2_B
4a27_A,A_3.40.50.720,PF08240,3.40.50.720,False,PF08240,3.40.50.720,alpha_beta,4gi2_B
4ilk_A,A_3.40.50.720,PF08240,3.40.50.720,False,PF08240,3.40.50.720,alpha_beta,4gi2_B
